(0.0080549,0.0207568,0.3880607800817082)
(0.0160552,0.0139912,1.1475212991022927)
(0.024595,0.0249843,0.9844182146387931)
(0.0676942,0.0771256,0.8777137552252429)
(0.2140599,0.186027,1.1506926413907659)
(0.3795673,0.3923557,0.9674061062449202)
(1.3059583,1.2824537,1.0183278351491363)
(3.4671542,3.4545545,1.0036472720288534)
(16.9295283,16.7866428,1.0085118568198759)
(62.593158,60.6450363,1.032123349557629)
(136.0158977,113.1800915,1.201765221227092)
(503.1115851,258.7874552,1.9441111807802962)
(5898.4453557,1364.315499,4.323373413278214)
