(4.4622,4.7221,0.9449609284004997)
(11.6052,15.6644,0.7408646357345318)
(20.1905,28.4395,0.7099456741503894)
(68.1067,37.7796,1.8027374561932894)
(1021.0476,68.3266,14.943632494518972)
(1867.2154,96.5365,19.342066472266968)
(26827.9608,1391.1439,19.284820786692162)
(200786.7454,1354.4179,148.2457854403726)
