(0.0102088,0.0059972,1.7022610551590742)
(0.0633529,0.0115654,5.477795839313815)
(0.0125418,0.0139244,0.9007066731780184)
(0.0141007,0.0109904,1.283001528606784)
(0.0173993,0.0210149,0.8279506445426816)
(0.0456878,0.0415879,1.0985839631238894)
(0.0732542,0.0650192,1.1266548957846299)
(0.1937817,0.1944292,0.9966697389075304)
(0.7411058,0.8841922,0.8381727411755047)
(3.1477771,3.4303962,0.917613277440081)
(8.160411,9.047211,0.9019808424938911)
(48.606813,49.1922377,0.988099246397974)
(590.4129862,562.4759661,1.0496679356696872)
